10:05:20.490 [main] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - No tokens obtained so skipping notifications
10:05:21.137 [main] WARN  o.a.f.r.webmonitor.WebMonitorUtils - Log file environment variable 'log.file' is not set.
10:05:21.137 [main] WARN  o.a.f.r.webmonitor.WebMonitorUtils - JobManager log files are unavailable in the web dashboard. Log file location not found in environment variable 'log.file' or configuration key 'web.log.path'.
10:05:21.574 [flink-pekko.actor.default-dispatcher-5] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - No tokens obtained so skipping notifications
10:05:21.574 [flink-pekko.actor.default-dispatcher-5] WARN  o.a.f.r.s.t.DefaultDelegationTokenManager - Tokens update task not started because either no tokens obtained or none of the tokens specified its renewal date
10:05:21.831 [jobmanager-io-thread-1] INFO  o.a.f.r.c.CheckpointCoordinator - No checkpoint found during restore.
10:05:35.243 [Checkpoint Timer] INFO  o.a.f.r.c.CheckpointCoordinator - Triggering checkpoint 1 (type=CheckpointType{name='Checkpoint', sharingFilesStrategy=FORWARD_BACKWARD}) @ 1747616735233 for job 6e3e1ef64fec86fb250a1c2a8ee4887a.
10:05:35.533 [jobmanager-io-thread-6] INFO  o.a.f.r.c.CheckpointCoordinator - Completed checkpoint 1 for job 6e3e1ef64fec86fb250a1c2a8ee4887a (13656 bytes, checkpointDuration=297 ms, finalizationTime=3 ms).
10:06:35.241 [Checkpoint Timer] INFO  o.a.f.r.c.CheckpointCoordinator - Triggering checkpoint 2 (type=CheckpointType{name='Checkpoint', sharingFilesStrategy=FORWARD_BACKWARD}) @ 1747616795240 for job 6e3e1ef64fec86fb250a1c2a8ee4887a.
10:06:35.264 [jobmanager-io-thread-4] INFO  o.a.f.r.c.CheckpointCoordinator - Completed checkpoint 2 for job 6e3e1ef64fec86fb250a1c2a8ee4887a (13656 bytes, checkpointDuration=18 ms, finalizationTime=6 ms).
10:07:35.241 [Checkpoint Timer] INFO  o.a.f.r.c.CheckpointCoordinator - Triggering checkpoint 3 (type=CheckpointType{name='Checkpoint', sharingFilesStrategy=FORWARD_BACKWARD}) @ 1747616855241 for job 6e3e1ef64fec86fb250a1c2a8ee4887a.
